,white/caucasian,black/african american,asian,hispanic/latino,pacific islander,native american/indigenous
367391008.0,0,0,0,0,0,0
371081002.0,0,0,0,0,0,0
397803000.0,0,0,0,0,0,0
397825006.0,0,0,0,0,0,0
399122003.0,0,0,0,0,0,0
402234004.0,0,0,0,0,0,0
409622000.0,0,0,0,0,0,0
423849004.0,0,0,0,0,0,0
425772008.0,0,0,0,0,0,0
428281000.0,0,0,0,0,0,0
429340002.0,0,0,0,0,0,0
429360005.0,0,0,0,0,0,0
440630006.0,0,0,0,0,0,0
443694000.0,0,0,0,0,0,0
444312002.0,0,0,0,0,0,0
448589005.0,0,0,0,0,0,0
609599003.0,0,0,0,0,0,0
609600000.0,0,0,0,0,0,0
